Encoder: cascaded-v4
SQ: /data2/datasets/SQs/SmartFx/sq_pa/SQ/495299_1_V1.wav
Seed: 42
Disabled FX: distortion, delay
Mode: Style Transfer (different audio segments)
Active MAE: 0.0521
Overall MAE: 0.0487
STFT Loss (styled vs target): 0.0104

Idx         True    Learned    |Error|
----------------------------------------
0         0.5765     0.5749     0.0015
1         0.5830     0.6261     0.0431
2         0.4766     0.5743     0.0977
3         0.5919     0.6075     0.0156
4         0.4781     0.4430     0.0351
5         0.5202     0.4622     0.0580
6         0.4513     0.4802     0.0289
7         0.5587     0.4395     0.1192
8         0.5882     0.5385     0.0496
9         0.4266     0.4650     0.0384
10        0.5869     0.4125     0.1744
11        0.5187     0.4467     0.0720
12        0.5739     0.5045     0.0694
13        0.5135     0.5999     0.0863
14        0.5482     0.5547     0.0065
15        0.4859     0.5209     0.0350
16        0.5771     0.4549     0.1222
17        0.5148     0.4735     0.0413
18        0.4533     0.5222     0.0689
19        0.5255     0.5020     0.0235
20        0.4539     0.5418     0.0878
21        0.4883     0.4858     0.0025
22        0.4594     0.4955     0.0361
23        0.5663     0.5297     0.0366
24        0.4211     0.4970     0.0759
25        0.4539     0.4845     0.0307
26        0.4718     0.5557     0.0840
27        0.4399     0.4728     0.0329
28        0.5094     0.5224     0.0129
29        0.4012     0.4646     0.0634
30        0.5903     0.4631     0.1272
31        0.4151     0.4608     0.0457
32        0.5772     0.5153     0.0619
33        0.5166     0.5672     0.0505
34        0.4675     0.4786     0.0111
35        0.5618     0.4977     0.0641
36        0.5156     0.4740     0.0416
37        0.5808     0.5264     0.0544
38        0.5109     0.5286     0.0177
39        0.4685     0.4306     0.0379
40        0.5269     0.5288     0.0019
41        0.0000     0.0000     0.0000 [OFF]
42        0.0000     0.0000     0.0000 [OFF]
43        0.0000     0.0000     0.0000 [OFF]
44        0.5578     0.4905     0.0673
45        0.4563     0.4763     0.0200
46        0.5577     0.5180     0.0398
