Encoder: fxencpp
SQ: /data2/datasets/SQs/SmartFx/sq_pa/SQ/495299_1_V1.wav
Seed: 42
Disabled FX: distortion, delay
Mode: Style Transfer (different audio segments)
Active MAE: 0.0936
Overall MAE: 0.0876
STFT Loss (styled vs target): 0.0603

Idx         True    Learned    |Error|
----------------------------------------
0         0.5765     0.5932     0.0167
1         0.5830     0.6383     0.0553
2         0.4766     0.5603     0.0837
3         0.5919     0.6103     0.0184
4         0.4781     0.4756     0.0024
5         0.5202     0.3326     0.1876
6         0.4513     0.3203     0.1310
7         0.5587     0.5441     0.0147
8         0.5882     0.5271     0.0611
9         0.4266     0.4662     0.0396
10        0.5869     0.4954     0.0915
11        0.5187     0.6437     0.1250
12        0.5739     0.5577     0.0162
13        0.5135     0.5706     0.0571
14        0.5482     0.6996     0.1514
15        0.4859     0.5668     0.0809
16        0.5771     0.4308     0.1462
17        0.5148     0.6365     0.1217
18        0.4533     0.3633     0.0900
19        0.5255     0.5267     0.0012
20        0.4539     0.4681     0.0142
21        0.4883     0.5924     0.1041
22        0.4594     0.3631     0.0963
23        0.5663     0.4303     0.1361
24        0.4211     0.5700     0.1489
25        0.4539     0.5679     0.1140
26        0.4718     0.4138     0.0580
27        0.4399     0.6269     0.1870
28        0.5094     0.3298     0.1796
29        0.4012     0.5526     0.1513
30        0.5903     0.4477     0.1426
31        0.4151     0.3556     0.0595
32        0.5772     0.3762     0.2010
33        0.5166     0.6113     0.0946
34        0.4675     0.4215     0.0460
35        0.5618     0.3920     0.1698
36        0.5156     0.5136     0.0020
37        0.5808     0.4110     0.1698
38        0.5109     0.3667     0.1442
39        0.4685     0.4540     0.0144
40        0.5269     0.5486     0.0217
41        0.0000     0.0000     0.0000 [OFF]
42        0.0000     0.0000     0.0000 [OFF]
43        0.0000     0.0000     0.0000 [OFF]
44        0.5578     0.4165     0.1413
45        0.4563     0.3277     0.1286
46        0.5577     0.6599     0.1021
