Parameter Comparison: True vs Learned
============================================================

SQ file: /data2/datasets/SQs/SmartFx/sq_pa/SQ/104121187_1_V1.wav
Encoder: cascaded-v6
Disabled FX: distortion, delay, imager
Active MAE (active params): 0.2036
Overall MAE (47 params): 0.1863
Ld (MR-STFT): 0.4638

Idx         True    Learned    |Error|
----------------------------------------
0         0.4565     0.5141     0.0575
1         0.5247     0.3791     0.1457
2         0.3128     0.7006     0.3878
3         0.3043     0.3478     0.0435
4         0.6342     0.1587     0.4755
5         0.6953     0.6905     0.0048
6         0.4056     0.3230     0.0826
7         0.3582     0.2078     0.1504
8         0.4143     0.3454     0.0690
9         0.4913     0.5897     0.0984
10        0.6274     0.5434     0.0840
11        0.4766     0.1897     0.2870
12        0.3516     0.3460     0.0057
13        0.3156     0.7852     0.4696
14        0.6177     0.2011     0.4167
15        0.5426     0.5507     0.0081
16        0.5934     0.6217     0.0282
17        0.5883     0.7363     0.1480
18        0.4120     0.6952     0.2832
19        0.3204     0.7101     0.3897
20        0.5082     0.4511     0.0571
21        0.4417     0.5381     0.0965
22        0.4774     0.8690     0.3916
23        0.3515     0.8895     0.5381
24        0.4815     0.7874     0.3060
25        0.5800     0.5839     0.0040
26        0.3269     0.4876     0.1607
27        0.4336     0.5010     0.0674
28        0.5373     0.2441     0.2932
29        0.6441     0.6352     0.0089
30        0.4412     0.2737     0.1675
31        0.4730     0.6525     0.1795
32        0.6979     0.6647     0.0332
33        0.4194     0.6101     0.1907
34        0.5541     0.1366     0.4175
35        0.3765     0.6693     0.2928
36        0.4686     0.5260     0.0574
37        0.3790     0.8873     0.5082
38        0.6486     0.0550     0.5935
39        0.0000     0.0000     0.0000 [OFF]
40        0.4155     0.6541     0.2386
41        0.0000     0.0000     0.0000 [OFF]
42        0.0000     0.0000     0.0000 [OFF]
43        0.0000     0.0000     0.0000 [OFF]
44        0.5338     0.5042     0.0296
45        0.5712     0.2863     0.2848
46        0.5429     0.7466     0.2037
