Parameter Comparison: True vs Learned
============================================================

SQ file: /data2/datasets/SQs/SmartFx/sq_pa/SQ/107524581_1_V1.wav
Encoder: cascaded-v6
Disabled FX: distortion, delay, imager
Active MAE (active params): 0.0902
Overall MAE (47 params): 0.0825
Ld (MR-STFT): 0.1923

Idx         True    Learned    |Error|
----------------------------------------
0         0.5099     0.5566     0.0467
1         0.4726     0.4947     0.0221
2         0.5719     0.4375     0.1344
3         0.4490     0.5208     0.0718
4         0.5836     0.4721     0.1114
5         0.5991     0.4390     0.1600
6         0.4015     0.4021     0.0006
7         0.4391     0.2958     0.1433
8         0.5280     0.5190     0.0091
9         0.4168     0.5961     0.1793
10        0.4765     0.4532     0.0234
11        0.4237     0.2906     0.1331
12        0.5664     0.6136     0.0472
13        0.4522     0.4287     0.0234
14        0.4229     0.4647     0.0418
15        0.5636     0.6234     0.0598
16        0.5167     0.4935     0.0233
17        0.5172     0.4806     0.0365
18        0.5148     0.4849     0.0298
19        0.5589     0.5150     0.0439
20        0.4957     0.4166     0.0791
21        0.5825     0.3507     0.2318
22        0.4003     0.5357     0.1354
23        0.5502     0.6849     0.1347
24        0.5264     0.3634     0.1630
25        0.4630     0.3087     0.1544
26        0.4506     0.6646     0.2139
27        0.5639     0.7161     0.1522
28        0.5472     0.5548     0.0076
29        0.5363     0.3686     0.1677
30        0.5802     0.5865     0.0063
31        0.5194     0.5409     0.0214
32        0.5315     0.6189     0.0874
33        0.4447     0.6797     0.2351
34        0.4104     0.4910     0.0807
35        0.4959     0.4887     0.0072
36        0.5623     0.6764     0.1141
37        0.5322     0.4920     0.0402
38        0.5555     0.4319     0.1236
39        0.0000     0.0000     0.0000 [OFF]
40        0.5399     0.7040     0.1641
41        0.0000     0.0000     0.0000 [OFF]
42        0.0000     0.0000     0.0000 [OFF]
43        0.0000     0.0000     0.0000 [OFF]
44        0.4674     0.4563     0.0110
45        0.5132     0.6255     0.1122
46        0.4994     0.4041     0.0953
