Parameter Comparison: True vs Learned
============================================================

SQ file: /data2/datasets/SQs/SmartFx/sq_pa/SQ/5030166_2_C1.wav
Encoder: cascaded-v6
Disabled FX: distortion, delay, imager
Active MAE (active params): 0.0839
Overall MAE (47 params): 0.0767
Ld (MR-STFT): 0.2422

Idx         True    Learned    |Error|
----------------------------------------
0         0.6067     0.6247     0.0179
1         0.4927     0.4399     0.0529
2         0.3990     0.5833     0.1843
3         0.4119     0.5775     0.1656
4         0.6015     0.5118     0.0897
5         0.4030     0.4426     0.0397
6         0.4330     0.3551     0.0780
7         0.5038     0.3799     0.1239
8         0.5478     0.3348     0.2130
9         0.4928     0.4703     0.0225
10        0.4323     0.5543     0.1220
11        0.5204     0.5160     0.0045
12        0.4569     0.4407     0.0162
13        0.4575     0.4417     0.0158
14        0.3721     0.4792     0.1071
15        0.5699     0.5384     0.0315
16        0.5362     0.5354     0.0008
17        0.6156     0.5853     0.0304
18        0.3763     0.6075     0.2312
19        0.4058     0.4369     0.0311
20        0.6045     0.4649     0.1396
21        0.4268     0.6616     0.2349
22        0.4186     0.3926     0.0260
23        0.6251     0.5226     0.1025
24        0.5403     0.5457     0.0054
25        0.6304     0.5014     0.1290
26        0.5095     0.4771     0.0324
27        0.6059     0.3956     0.2103
28        0.4173     0.5750     0.1577
29        0.4074     0.5309     0.1235
30        0.4637     0.5931     0.1294
31        0.5280     0.6007     0.0728
32        0.5509     0.5046     0.0463
33        0.5110     0.5954     0.0844
34        0.5571     0.4916     0.0655
35        0.6461     0.4571     0.1890
36        0.5177     0.5944     0.0767
37        0.5306     0.6573     0.1267
38        0.5321     0.5370     0.0050
39        0.0000     0.0000     0.0000 [OFF]
40        0.6072     0.6508     0.0436
41        0.0000     0.0000     0.0000 [OFF]
42        0.0000     0.0000     0.0000 [OFF]
43        0.0000     0.0000     0.0000 [OFF]
44        0.4231     0.4252     0.0022
45        0.5002     0.4862     0.0140
46        0.5039     0.4914     0.0125
